stars,movies,appearances
Jackie Cooper,['Superman III'],1
Jackie Earle Haley,"['Breaking Away', 'Little Children', 'Watchmen', 'A Nightmare on Elm Street', 'The Birth of a Nation']",5
Jackie Gleason,"['The Hustler', 'Smokey and the Bandit II', 'The Toy']",3
Jackie Guerra,['Selena'],1
Jackie Joseph,['The Little Shop of Horrors'],1
Jackie Minns,['The Art of Racing in the Rain'],1
Jackie Sandler,"['Eight Crazy Nights', 'Home Team']",2
Jackie Shroff,"['Rangeela', 'Border', 'Devdas', 'Brothers', 'Bigil', 'Saaho', 'Phone Bhoot']",7
Jackson A. Dunn,['Brightburn'],1
Jackson Bond,['The Invasion'],1
Jackson Lou,['First Strike'],1
Jackson Nicoll,['Jackass Presents: Bad Grandpa'],1
Jackson Rathbone,['Dread'],1
Jackson Robert Scott,['The Prodigy'],1
Jackson Wurth,['Shelter'],1
Jackson Yee,['Better Days'],1
Jacky Cheung,"['As Tears Go By', 'Bullet in the Head', 'Once Upon a Time in China']",3
Jacob Anderson,['Adulthood'],1
Jacob Batalon,['Spider-Man: No Way Home'],1
Jacob Derwig,['The Resistance Banker'],1
Jacob Elordi,"['The Kissing Booth', 'The Kissing Booth 2']",2
Jacob Gentry,['The Signal'],1
Jacob Kogan,['Joshua'],1
Jacob Latimore,"['Detroit', 'The Last Summer']",2
Jacob Lofland,['Mud'],1
Jacob Lohmann,['Department Q: A Conspiracy of Faith'],1
Jacob Pitts,['EuroTrip'],1
Jacob Reynolds,['Gummo'],1
Jacob Sewell,['Gummo'],1
Jacob Tremblay,"['Room', 'Before I Wake', 'Wonder', 'The Book of Henry', 'The Predator', 'Good Boys', 'Luca']",7
Jacob Vargas,"['Traffic', 'The Hills Have Eyes 2']",2
Jacob Wysocki,['Terri'],1
Jacob Zachar,['Arkansas'],1
Jacqueline Andere,['The Exterminating Angel'],1
Jacqueline Bisset,"['Bullitt', 'Day for Night', 'The Deep', 'Class', 'La Cérémonie', 'Double Lover']",6
Jacqueline Byers,['Prey for the Devil'],1
Jacqueline Fernandez,"['Housefull 2', 'Kick', 'Brothers', 'Bhoot Police', 'Vikrant Rona', 'Attack', 'Ram Setu', 'Bachchhan Paandey']",8
Jacqueline Kim,['Brokedown Palace'],1
Jacqueline McKenzie,"['Romper Stomper', 'Deep Blue Sea']",2
Jacqueline Obradors,['Six Days Seven Nights'],1
Jacqueline Poelvoorde-Pappaert,['Man Bites Dog'],1
Jacquelyn Hyde,['Take the Money and Run'],1
Jacques Balutin,['Asterix and Cleopatra'],1
Jacques Colimon,['Nocturne'],1
Jacques Doniol-Valcroze,"['Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles']",1
Jacques Dynam,['Fantomas'],1
Jacques Frantz,['Asterix and the Vikings'],1
Jacques Jouanneau,['Asterix the Gaul'],1
Jacques Morel,"['Asterix the Gaul', 'Asterix and Cleopatra', 'The Twelve Tasks of Asterix']",3
Jacques Nolot,['Under the Sand'],1
Jacques Perrin,['The Young Girls of Rochefort'],1
Jacques Tati,"[""Monsieur Hulot's Holiday"", 'Mon Oncle', 'Playtime']",3
Jacques Villeret,['Le Dîner de Cons'],1
Jacques Weber,['Cyrano de Bergerac'],1
Jacy King,['The Revenant'],1
Jada Alberts,['The Stranger'],1
Jada Pinkett Smith,"['Tales from the Crypt: Demon Knight', 'Set It Off', 'The Nutty Professor', 'Scream 2', 'Bamboozled', 'Collateral', 'Madagascar', 'Reign Over Me', 'Madagascar: Escape 2 Africa', ""Madagascar 3: Europe's Most Wanted"", 'Girls Trip']",11
Jaden Michael,['Vampires vs. the Bronx'],1
Jaden Smith,"['The Pursuit of Happyness', 'The Day the Earth Stood Still', 'The Karate Kid']",3
Jaden Tolliver,['Look Both Ways'],1
Jadrien Steele,['The Mosquito Coast'],1
Jae Head,"['Hancock', 'The Blind Side']",2
Jae-Hyun Cho,"['The Isle', 'Bad Guy']",2
Jae-ho Song,['Memories of Murder'],1
Jae-yeong Jeong,"['Castaway on the Moon', 'Confession of Murder']",2
Jaeden Martell,"['St. Vincent', 'It', 'The Book of Henry', 'The Lodge', 'Metal Lords', ""Mr. Harrigan's Phone""]",6
Jafar Panahi,['Taxi'],1
Jag Sanghera,['Tyrannosaur'],1
Jagadeesh Prathap Bandari,['Pushpa: The Rise - Part 1'],1
Jagan,['Ayan'],1
Jagapathi Babu,"['Srimanthudu', 'To Father with Love', 'Bairavaa', 'Rangasthalam 1985', 'Goodachari', 'Viswasam', 'Akhanda']",7
Jahi Di'Allo Winston,"['Proud Mary', 'We Have a Ghost']",2
Jai Courtney,"['A Good Day to Die Hard', 'The Water Diviner', 'Divergent', 'Terminator Genisys', 'Man Down', 'The Exception', 'Honest Thief', 'Jolt']",8
Jai Hind Kumar,['Sirf Ek Bandaa Kaafi Hai'],1
Jaideep Ahlawat,['An Action Hero'],1
Jaime Hill,['Skinamarink'],1
Jaime King,"['Bulletproof Monk', 'My Bloody Valentine', ""Mother's Day"", 'Barely Lethal']",4
Jaime Murray,['The Deaths of Ian Stone'],1
Jaime Pressly,['Not Another Teen Movie'],1
Jaime Winstone,"['Donkey Punch', 'Made in Dagenham', 'Love, Rosie']",3
Jaime de Hoyos,['El Mariachi'],1
Jaimie Alexander,['Last Seen Alive'],1
Jake Abel,['The Host'],1
Jake Andolina,['Abduction'],1
Jake Brennan,['Dark Skies'],1
Jake Busey,"['Starship Troopers', 'Tomcats']",2
Jake Gyllenhaal,"['October Sky', 'Donnie Darko', 'Bubble Boy', 'Moonlight Mile', 'The Good Girl', 'The Day After Tomorrow', 'Brokeback Mountain', 'Jarhead', 'Proof', 'Zodiac', 'Rendition', 'Brothers', 'Love & Other Drugs', 'Prince of Persia: The Sands of Time', 'Source Code', 'End of Watch', 'Prisoners', 'Enemy', 'Nightcrawler', 'Southpaw', 'Demolition', 'Nocturnal Animals', 'Okja', 'Stronger', 'Life', 'The Sisters Brothers', 'Wildlife', 'Spider-Man: Far from Home', 'Velvet Buzzsaw', 'The Guilty', 'Ambulance', 'Strange World', 'The Covenant']",33
Jake Henderson,['Firebird'],1
Jake Hoffman,"[""Barney's Version"", 'Otherhood']",2
Jake Horowitz,"['The Vast of Night', 'Shut In']",2
Jake Johnson,"['Safety Not Guaranteed', 'The Pretty One', 'Drinking Buddies', ""Let's Be Cops"", 'Spider-Man: Into the Spider-Verse', 'Tag']",6
Jake Lacy,"['Obvious Child', 'Christmas Inheritance', 'Significant Other']",3
Jake Lloyd,['Star Wars: Episode I - The Phantom Menace'],1
Jake McDorman,['Aquamarine'],1
Jake Miller,['Paranoid Park'],1
Jake Muxworthy,['Borderland'],1
Jake Picking,['The Greatest Beer Run Ever'],1
Jake Ryan,['Eighth Grade'],1
Jake Sandvig,['The Story of Us'],1
Jake T. Austin,['Hotel for Dogs'],1
Jake Weber,"['Meet Joe Black', 'Dawn of the Dead']",2
Jakob Cedergren,"['Submarino', 'The Guilty']",2
Jakob Oftebro,"['In Order of Disappearance', 'Black Crab']",2
Jakob Salvati,['Little Boy'],1
Jakub Gierszal,['Suicide Room'],1
Jalaja,['Malik'],1
Jalyn Hall,['Till'],1
Jamal Woolard,['Notorious'],1
Jamel Debbouze,"['Asterix & Obelix: Mission Cleopatra', 'Angel-A', 'Days of Glory']",3
James Allen McCune,['Blair Witch'],1
James Andrews,['Blue Jay'],1
James Arness,"['The Thing from Another World', 'Them!']",2
James Arnold Taylor,['Ratchet & Clank'],1
James Aubrey,['Lord of the Flies'],1
James Badge Dale,"['Lord of the Flies', 'Shame', 'World War Z', 'Stretch', '13 Hours', 'Spectral', 'Hold the Dark', 'The Empty Man']",8
James Baskett,['Song of the South'],1
James Best,"['Shock Corridor', 'Rolling Thunder']",2
James Bloor,['The Coldest Game'],1
James Booth,['Zulu'],1
James Brolin,"['Westworld', 'Capricorn One', 'The Car', 'The Amityville Horror', 'A Guy Thing', 'The Goods: Live Hard, Sell Hard', 'The 33']",7
James Brown,"['Going My Way', 'Targets']",2
James Buckley,"['The Inbetweeners', 'The Inbetweeners 2']",2
James Bullard,['Ken Park'],1
James C. Victor,['Nine Dead'],1
James Caan,"['El Dorado', 'The Godfather', 'Rollerball', 'Thief', 'Alien Nation', 'Misery', 'Honeymoon in Vegas', 'The Program', 'Eraser', 'Bulletproof', 'Mickey Blue Eyes', 'The Yards', 'Elf', 'Cloudy with a Chance of Meatballs', 'Middle Men', ""Henry's Crime"", 'The Tale of The Princess Kaguya', 'The Good Neighbor']",18
James Cade,['Blue Mountain State: The Rise of Thadland'],1
James Cagney,"['The Public Enemy', 'Angels with Dirty Faces', 'The Roaring Twenties', 'Yankee Doodle Dandy', 'White Heat', 'Mister Roberts', 'One, Two, Three', 'Ragtime']",8
James Coburn,"['Charade', 'Duck, You Sucker!', 'Pat Garrett & Billy the Kid', 'Hard Times', 'Midway', 'Cross of Iron', 'Hudson Hawk', 'Eraser', 'The Nutty Professor', 'Affliction', 'Snow Dogs']",11
James Corden,"['Vampire Killers', 'One Chance', 'Peter Rabbit', 'Smallfoot', 'Trolls World Tour', 'The Prom', 'Superintelligence', 'Peter Rabbit 2: The Runaway']",8
James Cosmo,"['Emma', 'Half Light', 'Jagame Thandhiram']",3
James Cromwell,"['Babe', 'Babe: Pig in the City', ""The General's Daughter"", 'Spirit: Stallion of the Cimarron', 'The Snow Walker', 'The Queen', 'Becoming Jane', 'The Artist']",8
James D'Arcy,"['Master and Commander: The Far Side of the World', 'Exorcist: The Beginning', 'An American Haunting', 'W.E.', 'After the Dark']",5
James DeBello,"['Detroit Rock City', '100 Girls', 'Cabin Fever']",3
James Dean,"['East of Eden', 'Rebel Without a Cause', 'Giant']",3
James Donald,"['Lust for Life', 'Quatermass and the Pit']",2
James Doohan,"['Star Trek: The Motion Picture', 'Star Trek II: The Wrath of Khan', 'Star Trek III: The Search for Spock', 'Star Trek IV: The Voyage Home', 'Star Trek V: The Final Frontier', 'Star Trek VI: The Undiscovered Country']",6
James DuMont,['Deepwater Horizon'],1
James Duval,"['The Doom Generation', 'May']",2
James Earl Jones,"['Conan the Barbarian', 'Field of Dreams', 'Best of the Best', 'Three Fugitives', 'The Lion King', 'Welcome Home, Roscoe Jenkins']",6
James Ellison,['I Walked with a Zombie'],1
James Farentino,"['The Final Countdown', 'Dead & Buried']",2
James Fleet,"['Four Weddings and a Funeral', 'Sense and Sensibility', 'Charlotte Gray']",3
James Fox,"['The Servant', 'Performance', 'A Passage to India', 'The Russia House']",4
James Frain,"['Hilary and Jackie', 'Where the Heart Is', 'Reindeer Games', 'Transit']",4
James Franciscus,"['Beneath the Planet of the Apes', ""The Cat o' Nine Tails""]",2
James Franco,"['Spider-Man', 'City by the Sea', 'Spider-Man 2', 'The Great Raid', 'Tristan + Isolde', 'Flyboys', 'Annapolis', 'Pineapple Express', '127 Hours', 'Howl', 'Rise of the Planet of the Apes', 'Your Highness', 'The Iceman', 'This Is the End', 'Homefront', 'Oz the Great and Powerful', 'Palo Alto', 'The Interview', 'Good People', 'True Story', 'Queen of the Desert', 'Why Him?', 'The Disaster Artist']",23
James Frecheville,"['Animal Kingdom', 'The First Time', 'Adoration', ""Black '47""]",4
James Freedson-Jackson,['Cop Car'],1
James Gandia,['Begotten'],1
James Gandolfini,"['Terminal Velocity', 'The Juror', '8MM', ""The Man Who Wasn't There"", 'The Last Castle', 'The Mexican', 'Surviving Christmas', 'Romance & Cigarettes', 'Lonely Hearts', 'In the Loop', 'Welcome to the Rileys', 'Violet & Daisy', 'Enough Said', 'The Drop']",14
James Garner,"[""The Children's Hour"", 'The Great Escape', 'Grand Prix', 'Support Your Local Sheriff!', 'Victor/Victoria', 'Maverick', 'My Fellow Americans', 'Space Cowboys', 'Divine Secrets of the Ya-Ya Sisterhood', 'The Notebook', 'The Ultimate Gift']",11
James Gilbert,['The Conspiracy'],1
James Gleason,['The Night of the Hunter'],1
James Hampton,['Teen Wolf'],1
James Hamrick,"[""Devil's Knot""]",1
James Hetfield,['Metallica Through the Never'],1
James Hong,['Big Trouble in Little China'],1
James Howson,['Wuthering Heights'],1
James Jagger,['The Deep House'],1
James Joshua Blake,['Deathgasm'],1
James Jude Courtney,"['Halloween', 'Halloween Kills', 'Halloween Ends']",3
James Karen,"['The Return of the Living Dead', 'Return of the Living Dead II']",2
James Keane,['Crazy Heart'],1
James Krishna Floyd,['The Swimmers'],1
James Kyson,['Shutter'],1
James Larkin,['Henry V'],1
James Laurenson,['Pink Floyd: The Wall'],1
James Le Gros,"['Phantasm II', 'Drugstore Cowboy', 'Thursday', 'Certain Women']",4
James Levine,['Fantasia 2000'],1
James Lorinz,['Frankenhooker'],1
James MacArthur,['Swiss Family Robinson'],1
James MacDonald,['Cinderella'],1
James Madio,['The Basketball Diaries'],1
James Marsden,"['Disturbing Behavior', 'Gossip', 'Interstate 60: Episodes of the Road', 'Superman Returns', 'Enchanted', 'Sex Drive', '27 Dresses', 'The Box', 'Straw Dogs', 'Hop', 'Bachelorette', 'The Tale of The Princess Kaguya', 'The Best of Me', 'The Loft', 'Walk of Shame', 'Welcome to Me', 'Unfinished Business', 'Into the Grizzly Maze', 'The D Train', 'Sonic the Hedgehog', 'The Boss Baby: Family Business', 'Sonic the Hedgehog 2']",22
James Mason,"['Odd Man Out', 'Julius Caesar', 'A Star Is Born', '20,000 Leagues Under the Sea', 'Journey to the Center of the Earth', 'Lolita', 'Cross of Iron', 'The Boys from Brazil', 'Heaven Can Wait', 'The Verdict', 'Evil Under the Sun']",11
James McArdle,['Ammonite'],1
James McAvoy,"[""Rory O'Shea Was Here"", 'The Last King of Scotland', 'Penelope', 'Starter for 10', 'Atonement', 'Becoming Jane', 'Wanted', 'The Last Station', 'The Conspirator', 'X: First Class', 'Arthur Christmas', 'Gnomeo & Juliet', 'Filth', 'Trance', 'The Disappearance of Eleanor Rigby: Him', 'Welcome to the Punch', 'X-Men: Days of Future Past', 'The Disappearance of Eleanor Rigby: Them', 'Victor Frankenstein', 'Split', 'X-Men: Apocalypse', 'Atomic Blonde', 'Sherlock Gnomes', 'Glass', 'It Chapter Two', 'X-Men: Dark Phoenix', 'My Son']",27
James McKechnie,['The Life and Death of Colonel Blimp'],1
James Nesbitt,"['Bloody Sunday', 'Millions', 'Five Minutes of Heaven']",3
James Norton,"['Flatliners', 'Mr. Jones', 'Things Heard & Seen', 'Rogue Agent']",4
James Olson,"['The Andromeda Strain', 'Amityville II: The Possession']",2
James Paxton,['The Greatest Game Ever Played'],1
James Pickens Jr.,['Just Wright'],1
James Purefoy,"['Vanity Fair', 'Solomon Kane', 'Ironclad', 'Momentum', ""Fisherman's Friends""]",5
James Quinn Markey,['The Hole in the Ground'],1
James Ransone,"['The Son of No One', 'Sinister', 'Mr. Right', 'Sinister 2', 'In a Valley of Violence']",5
James Ray,"[""She's Having a Baby""]",1
James Rebhorn,"['Scent of a Woman', 'Blank Check', 'I Love Trouble', 'The Game', 'The Box', 'Sleepwalk with Me']",6
James Remar,"['The Warriors', 'Renaissance Man', 'The Quest', ""The Blackcoat's Daughter"", 'The Noel Diary']",5
James Robert Miller,['Wilson'],1
James Robertson Justice,['Moby Dick'],1
James Rolleston,['Boy'],1
James Russell,"['When the Wind Blows', 'The Boy']",2
James Russo,['My Own Private Idaho'],1
James Saito,"['Always Be My Maybe', 'Love Hard']",2
James Signorelli,['Police Academy 2: Their First Assignment'],1
James Sikking,['Outland'],1
James Sloyan,['Xanadu'],1
James Spader,"['Less Than Zero', 'Mannequin', 'Sex, Lies, and Videotape', 'Bad Influence', 'Stargate', 'Wolf', 'Crash', 'The Watcher', 'Secretary']",9
James Stephenson,['The Letter'],1
James Stewart,"['After the Thin Man', ""You Can't Take It with You"", 'Mr. Smith Goes to Washington', 'Destry Rides Again', 'The Shop Around the Corner', 'The Philadelphia Story', ""It's a Wonderful Life"", 'Rope', 'Harvey', ""Winchester '73"", 'The Greatest Show on Earth', 'The Naked Spur', 'Rear Window', 'The Man from Laramie', 'The Man Who Knew Too Much', 'Bell Book and Candle', 'Anatomy of a Murder', 'The Man Who Shot Liberty Valance', 'How the West Was Won', 'The Flight of the Phoenix', 'The Shootist', 'An American Tail: Fievel Goes West']",22
James T. Callahan,['Return of the Living Dead III'],1
James Taylor,['Two-Lane Blacktop'],1
James Tien,"['The Big Boss', 'Fist of Fury']",2
James Van Der Beek,"['Varsity Blues', 'The Rules of Attraction']",2
James Whitmore,"['The Asphalt Jungle', 'Them!', 'The Relic']",3
James Wilby,"['Maurice', 'The Duke']",2
James Wolk,"['For a Good Time, Call...']",1
James Wong,['Twin Dragons'],1
James Woods,"['Videodrome', 'Against All Odds', ""Cat's Eye"", 'Salvador', 'The Hard Way', 'The Getaway', 'The Specialist', 'Casino', 'Ghosts of Mississippi', 'Hercules', 'Vampires', 'The Virgin Suicides', 'Any Given Sunday', 'True Crime', 'Pretty Persuasion', 'Straw Dogs']",16
Jameson Parker,"['White Dog', 'Prince of Darkness']",2
Jami Gertz,"['Crossroads', 'Less Than Zero', 'Twister']",3
Jamie Anderson,['The Contract'],1
Jamie Bell,"['Billy Elliot', 'Nicholas Nickleby', 'Deathwatch', 'The Chumscrubber', 'Dear Wendy', 'Hallam Foe', 'Defiance', 'Jumper', 'The Adventures of Tintin', 'Jane Eyre', 'The Eagle', 'Retreat', 'Man on a Ledge', 'Snowpiercer', 'Filth', 'Nymphomaniac: Vol. II', ""Film Stars Don't Die in Liverpool"", '6 Days', 'Skin', 'Rocketman', 'Without Remorse']",21
Jamie Blackley,"['If I Stay', 'Slaughterhouse Rulez']",2
Jamie Campbell Bower,"['Winter in Wartime', 'The Mortal Instruments: City of Bones']",2
Jamie Chung,['Big Hero 6'],1
Jamie Clayton,['Hellraiser'],1
Jamie Dornan,"['Anthropoid', 'The 9th Life of Louis Drax', 'Synchronic', 'Wild Mountain Thyme', 'Belfast', 'Barb and Star Go to Vista Del Mar']",6
Jamie Draven,['Billy Elliot'],1
Jamie Flatters,['The Forgotten Battle'],1
Jamie Foxx,"['The Truth About Cats & Dogs', 'Bait', 'Ali', 'Ray', 'Collateral', 'Jarhead', 'Stealth', 'Dreamgirls', 'Miami Vice', 'The Kingdom', 'Law Abiding Citizen', 'The Soloist', 'Due Date', ""Valentine's Day"", 'Django Unchained', 'White House Down', 'The Amazing Spider-Man 2', 'Annie', 'Sleepless', 'Robin Hood', 'Just Mercy', 'Soul', 'Project Power', 'Day Shift', 'They Cloned Tyrone']",25
Jamie Kennedy,"[""Malibu's Most Wanted""]",1
Jamie Lee Curtis,"['Halloween', 'The Fog', 'Terror Train', 'Prom Night', 'Halloween II', 'A Fish Called Wanda', 'Blue Steel', 'My Girl', 'Forever Young', 'True Lies', 'My Girl 2', 'Fierce Creatures', 'Halloween H20: 20 Years Later', 'Virus', 'Drowning Mona', 'The Tailor of Panama', 'Freaky Friday', 'Christmas with the Kranks', 'You Again', 'Spare Parts', 'Halloween', 'Knives Out', 'Halloween Kills', 'Everything Everywhere All at Once', 'Halloween Ends']",25
Jamie Sives,['Triage'],1
Jamie Smith,"[""Killer's Kiss""]",1
Jamie Tirelli,['Girlfight'],1
Jamison Jones,['The Wretched'],1
Jan Bijvoet,"['Borgman', 'Embrace of the Serpent', 'The Forgotten Battle']",3
Jan Cornet,['The Skin I Live In'],1
Jan Decleir,"['Character', 'The Memory of a Killer']",2
Jan Decorte,"['Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles']",1
Jan Hockey,['Slacker'],1
Jan Josef Liefers,"[""Knockin' on Heaven's Door""]",1
Jan Miner,['Lenny'],1
Jan Munroe,['The Grifters'],1
Jan Pinkava,['Ratatouille'],1
Jan Rubes,['D2: The Mighty Ducks'],1
Jan Sterling,['Ace in the Hole'],1
Jan Tesarz,['A Short Film About Killing'],1
Jan Vostrcil,"[""The Firemen's Ball""]",1
Jan Wikbladh,"['You, the Living']",1
Jan-Michael Vincent,['The Mechanic'],1
Jana Pallaske,['Suck Me Shakespeer'],1
Janakaraj,['Nayakan'],1
Jane Adams,['Happiness'],1
Jane Alexander,"['Kramer vs. Kramer', 'Brubaker', 'City Heat', 'Last Love']",4
Jane Asher,['The Masque of the Red Death'],1
Jane Birkin,"['La Piscine', 'Death on the Nile']",2
Jane Curtin,['Coneheads'],1
Jane Darwell,['The Grapes of Wrath'],1
Jane Fonda,"['Cat Ballou', 'The Chase', 'Barefoot in the Park', 'Barbarella', ""They Shoot Horses, Don't They?"", 'Klute', 'Julia', 'Coming Home', 'The China Syndrome', 'Nine to Five', 'On Golden Pond', 'Monster-in-Law', 'Georgia Rule', 'The Butler', 'This Is Where I Leave You', 'Better Living Through Chemistry', 'Youth', 'Our Souls at Night', 'Book Club', 'Luck']",20
Jane Galloway Heitz,['The Straight Story'],1
Jane Gilchrist,['The Woods'],1
Jane Greer,['Out of the Past'],1
Jane Horrocks,"['Life Is Sweet', 'Little Voice', 'Absolutely Fabulous: The Movie']",3
Jane Kaczmarek,['Falling in Love'],1
Jane Krakowski,['Open Season 2'],1
Jane Leeves,['To Live and Die in L.A.'],1
Jane Levy,"['Evil Dead', ""Don't Breathe"", 'Monster Trucks', 'Office Uprising']",4
Jane Lynch,"['Sleepover', 'Wreck-It Ralph', 'The Three Stooges', 'Afternoon Delight', 'A.C.O.D.']",5
Jane March,"['The Lover', 'Color of Night']",2
Jane Patterson,['Wild Rose'],1
Jane Perry,['Greta'],1
Jane Powell,['Seven Brides for Seven Brothers'],1
Jane Randolph,['Cat People'],1
Jane Russell,['Gentlemen Prefer Blondes'],1
Jane Seymour,"['Live and Let Die', 'Somewhere in Time']",2
Jane Wyatt,['Lost Horizon'],1
Jane Wyman,"['The Lost Weekend', 'Stage Fright', 'All That Heaven Allows', 'Pollyanna']",4
Janeane Garofalo,"['Reality Bites', 'The Truth About Cats & Dogs', ""Romy and Michele's High School Reunion"", 'Clay Pigeons', 'Mystery Men', 'Wet Hot American Summer', 'The Wild']",7
Janel Moloney,"[""Bang Bang You're Dead""]",1
Janel Parrish,"[""To All the Boys I've Loved Before"", 'To All the Boys: Always and Forever']",2
Janet Gaynor,"['Sunrise', 'A Star Is Born']",2
Janet Gunn,['The Quest'],1
Janet Jackson,"['Poetic Justice', 'Why Did I Get Married?']",2
Janet Landgard,['The Swimmer'],1
Janet Leigh,"['The Naked Spur', 'Touch of Evil', 'The Vikings', 'Psycho', 'The Manchurian Candidate', 'The Fog']",6
Janet Margolin,['Take the Money and Run'],1
Janet McTeer,"['Wuthering Heights', 'Tideland', 'Hannah Arendt', 'The Woman in Black', 'Me Before You']",5
Janet Munro,['Swiss Family Robinson'],1
Janet Suzman,"[""The Draughtsman's Contract""]",1
Jang Dong-Gun,"['Tae Guk Gi: The Brotherhood of War', ""The Warrior's Way"", 'My Way']",3
Jang Hyuk,['Flu'],1
Jang So-yeon,['Peninsula'],1
Janhvi Kapoor,"['Gunjan Saxena: The Kargil Girl', 'Mili', 'Bawaal']",3
Jani Volanen,['Hatching'],1
Janice Karman,['Alvin and the Chipmunks'],1
Janice Rule,"['The Swimmer', '3 Women']",2
Janina Gavankar,"['Blindspotting', 'The Way Back']",2
Janine Darcey,['Rififi'],1
Janine Turner,['Cliffhanger'],1
January Jones,"['The Three Burials of Melquiades Estrada', 'Unknown', 'Seeking Justice', 'Good Kill']",4
Januel Mercado,['Puss in Boots: The Last Wish'],1
Janus Blythe,['The Hills Have Eyes'],1
Janusz Gajos,['Three Colors: White'],1
Japtej Singh,['Bhaag Milkha Bhaag'],1
Jared Bush,['Zootopia'],1
Jared Gilman,['Moonrise Kingdom'],1
Jared Harris,"['The Notorious Bettie Page', 'Sherlock Holmes: A Game of Shadows', 'The Boxtrolls', 'The Quiet Ones', 'Allied', 'The Sea Beast', 'Morbius']",7
Jared Kusnitz,['Dance of the Dead'],1
Jared Leto,"['Urban Legend', 'Lord of War', 'Lonely Hearts', 'Mr. Nobody', 'Dallas Buyers Club', 'Suicide Squad', 'The Outsider', 'The Little Things', 'Morbius']",9
Jared Lotz,['Unplanned'],1
Jared Padalecki,"['Cry Wolf', 'Friday the 13th']",2
Jared Roylance,"[""I Don't Feel at Home in This World Anymore""]",1
Jared Rushton,['Pet Sematary II'],1
Jarl Kulle,"[""Babette's Feast""]",1
Jarlath Conroy,['Day of the Dead'],1
Jarrad Paul,['The D Train'],1
Jarrett Bruno,['Spies in Disguise'],1
Jas Arora,['Chalte Chalte'],1
Jascha Washington,"[""Big Momma's House"", 'The Final']",2
Jasen Fisher,['The Witches'],1
Jasmin Savoy Brown,['Scream VI'],1
Jasmine Cephas Jones,['Blindspotting'],1
Jasmine Mathews,['The Man from Toronto'],1
Jasmine Trinca,"[""The Son's Room"", 'The Best of Youth', 'The Gunman']",3
Jasna Djuricic,"['Quo Vadis, Aida?']",1
Jason Alexander,"['Pretty Woman', 'The Hunchback of Notre Dame', 'Dunston Checks In', 'Shallow Hal']",4
Jason Andrews,['Punch-Drunk Love'],1
Jason Antoon,['Columbus Circle'],1
Jason Barry,"['Beyond Re-Animator', 'Mirrormask', 'I.T.']",3
Jason Bateman,"['The Ex', 'Juno', 'The Kingdom', ""Mr. Magorium's Wonder Emporium"", 'Hancock', 'Up in the Air', 'Extract', 'Couples Retreat', 'The Switch', 'Horrible Bosses', 'The Change-Up', 'Disconnect', 'Bad Words', 'Identity Thief', 'This Is Where I Leave You', 'Horrible Bosses 2', 'The Longest Week', 'The Gift', 'Zootopia', 'Office Christmas Party', 'Game Night', 'Air']",22
Jason Beghe,"['Monkey Shines', 'G.I. Jane']",2
Jason Behr,['The Grudge'],1
Jason Biggs,"['American Pie', 'Loser', 'American Pie 2', 'Saving Silverman', 'Anything Else', 'American Wedding', 'Eight Below', 'Wedding Daze', ""My Best Friend's Girl"", 'Over Her Dead Body', 'American Reunion']",11
Jason Bonham,['Rock Star'],1
Jason Clarke,"['Public Enemies', 'Trust', 'Lawless', 'White House Down', 'Everest', 'Terminator Genisys', 'All I See Is You', 'Mudbound', 'The Man with the Iron Heart', 'Chappaquiddick', 'First Man', 'Winchester', 'The Aftermath', 'Pet Sematary', 'Serenity']",15
Jason Cope,['District 9'],1
Jason David Frank,['Mighty Morphin Power Rangers'],1
Jason Davis,"[""Recess: School's Out""]",1
Jason Dohring,['Veronica Mars'],1
Jason Drucker,['Bumblebee'],1
Jason Eisener,['V/H/S/2'],1
Jason Flemyng,"['Lock, Stock and Two Smoking Barrels', 'The Red Violin', 'The League of Extraordinary Gentlemen', 'Bobby Z', 'Clash of the Titans', 'Ironclad', 'Great Expectations']",7
Jason Gedrick,['Iron Eagle'],1
Jason Isaacs,"['Soldier', 'The Patriot', 'Sweet November', 'The Tuxedo', 'Peter Pan', 'Green Zone', 'A Single Shot', 'A Cure for Wellness', 'Look Away', 'Scoob!', 'Mass']",11
Jason James Richter,"['Free Willy', 'Free Willy 2: The Adventure Home']",2
Jason K. Wixom,['Deadstream'],1
Jason Lee,"['Mallrats', 'Stealing Harvard', 'A Guy Thing', 'Dreamcatcher', 'The Incredibles', 'Alvin and the Chipmunks', 'Alvin and the Chipmunks: The Road Chip']",7
Jason Liebrecht,['Fullmetal Alchemist the Movie: Conqueror of Shamballa'],1
Jason Liles,['Aftermath'],1
Jason Lively,"[""National Lampoon's European Vacation"", 'Night of the Creeps']",2
Jason London,['Dazed and Confused'],1
Jason Mantzoukas,['The House'],1
Jason Marsden,['A Goofy Movie'],1
Jason McLeod,['Facing the Giants'],1
Jason Mewes,"['Jay and Silent Bob Strike Back', 'Clerks II']",2
Jason Miller,['The Exorcist III'],1
Jason Mitchell,"['Straight Outta Compton', 'Mudbound', 'The Mustang']",3
Jason Momoa,"['Conan the Barbarian', 'Bullet to the Head', 'The Bad Batch', 'Justice League', 'Once Upon a Time in Venice', 'Aquaman', 'Braven', 'Sweet Girl', 'Slumberland']",9
