stars,movies,appearances
Adam Sandler,"['Airheads', 'Billy Madison', 'Happy Gilmore', 'Bulletproof', 'The Wedding Singer', 'The Waterboy', 'Big Daddy', 'Little Nicky', 'Punch-Drunk Love', 'Mr. Deeds', 'Eight Crazy Nights', 'Anger Management', '50 First Dates', 'Spanglish', 'The Longest Yard', 'Click', 'Reign Over Me', 'I Now Pronounce You Chuck & Larry', 'Bedtime Stories', ""You Don't Mess with the Zohan"", 'Funny People', 'Grown Ups', 'Just Go with It', 'Hotel Transylvania', ""That's My Boy"", 'Grown Ups 2', 'Blended', 'The Cobbler', 'Hotel Transylvania 2', 'Pixels', 'The Do-Over', 'The Meyerowitz Stories', 'Sandy Wexler', 'Hotel Transylvania 3: Summer Vacation', 'The Week Of', 'Uncut Gems', 'Murder Mystery', 'Hubie Halloween', 'Hustle', 'Murder Mystery 2']",40
Adam Scott,"['High Crimes', 'Leap Year', 'Friends with Kids', 'A.C.O.D.', 'Krampus', 'The Overnight', 'Hot Tub Time Machine 2', 'Flower', 'Little Evil']",9
Adam Sevani,"['Step Up 2: The Streets', 'Step Up 3D', 'Step Up All In']",3
Adam Shapiro,['The Den'],1
Adam Trese,"['40 Days and 40 Nights', 'Silent House']",2
Adam West,['Batman: The Movie'],1
Adam Wingard,"['V/H/S', 'V/H/S', 'V/H/S/2', 'V/H/S/2']",4
Adam Wolf Mayerson,['Blow the Man Down'],1
Adam Young,"[""Don't Breathe 2""]",1
Adamo Dionisi,['Dogman'],1
Adan Canto,['Bruised'],1
Adar Beck,['Exam'],1
Adarsh Gourav,['The White Tiger'],1
Addison Christie,['The Nightingale'],1
Addison Timlin,"['Derailed', 'The Town That Dreaded Sundown', 'Fallen']",3
Adeel Akhtar,['Four Lions'],1
Adel Bencherif,['A Prophet'],1
Adel Karam,['The Insult'],1
Adelaide Clemens,"['No One Lives', 'Silent Hill: Revelation']",2
Adelaide Kane,['The Purge'],1
Adele Mara,['Sands of Iwo Jima'],1
Aden Young,"['Sniper', 'Poker Face']",2
Adesh Prasad,['Tumbbad'],1
Adewale Akinnuoye-Agbaje,"['Legionnaire', ""Get Rich or Die Tryin'"", 'G.I. Joe: The Rise of Cobra', 'Pompeii', 'Bilal: A New Breed of Hero']",5
Adhir Kalyan,['Chemical Hearts'],1
Adil Hussain,"['Life of Pi', 'English Vinglish', 'Lootera', '2']",4
Adile Nasit,"['The Chaos Class Failed the Class', 'Tosun Pasa', 'Saban, Son of Saban', 'The Chaos Class Is Waking Up', 'The Chaos Class Is on Vacation', 'Neseli Günler', 'Kibar Feyzo']",7
Adithya Bhaskar,['96'],1
Aditi Rao Hydari,"['Wazir', 'Padmaavat']",2
Aditya Geddada,['Encounter'],1
Aditya Pancholi,['Yes Boss'],1
Aditya Paul,['Checkmate'],1
Aditya Roy Kapoor,"['Guzaarish', 'Yeh Jawaani Hai Deewani', 'Aashiqui 2', 'Malang']",4
