stars,title,appearances
Harry Eden,Flashbacks of a Fool,1
Eve,Flashbacks of a Fool,4
Olivia Williams,Flashbacks of a Fool,11
Melis Birkan,Alone,1
Asli Aybars,Alone,1
Ben Kingsley,Fifty Dead Men Walking,33
Jim Sturgess,Fifty Dead Men Walking,14
Kevin Zegers,Fifty Dead Men Walking,6
Natalie Press,Fifty Dead Men Walking,3
Kelly Reilly,Eden Lake,12
Michael Fassbender,Eden Lake,22
Tara Ellis,Eden Lake,1
Jack O'Connell,Eden Lake,9
Angelina Jolie,Wanted,30
James McAvoy,Wanted,27
Morgan Freeman,Wanted,52
Terence Stamp,Wanted,8
Natalie Portman,The Other Boleyn Girl,30
Scarlett Johansson,The Other Boleyn Girl,34
Eric Bana,The Other Boleyn Girl,17
Jim Sturgess,The Other Boleyn Girl,14
Ricky Gervais,Ghost Town,7
Greg Kinnear,Ghost Town,24
Jordan Carlos,Ghost Town,2
Ed Harris,Appaloosa,33
Viggo Mortensen,Appaloosa,18
Jeremy Irons,Appaloosa,24
Anne Hathaway,Rachel Getting Married,31
Rosemarie DeWitt,Rachel Getting Married,7
Debra Winger,Rachel Getting Married,12
Sebastian Stan,Rachel Getting Married,10
Matthew Goode,Brideshead Revisited,15
Patrick Malahide,Brideshead Revisited,1
Hayley Atwell,Brideshead Revisited,6
Thomas Morrison,Brideshead Revisited,1
Rachel Weisz,The Brothers Bloom,29
Adrien Brody,The Brothers Bloom,23
Mark Ruffalo,The Brothers Bloom,29
Rinko Kikuchi,The Brothers Bloom,4
Zac Efron,Me and Orson Welles,20
Claire Danes,Me and Orson Welles,13
Christian McKay,Me and Orson Welles,1
Zoe Kazan,Me and Orson Welles,9
Ben Kingsley,Elegy,33
Patricia Clarkson,Elegy,16
Dennis Hopper,Elegy,17
Chiwetel Ejiofor,Redbelt,21
Tim Allen,Redbelt,12
Emily Mortimer,Redbelt,19
Max Martini,Redbelt,3
Brian Cox,The Escapist,17
Damian Lewis,The Escapist,4
Joseph Fiennes,The Escapist,14
Seu Jorge,The Escapist,3
Mastan Alibhai Burmawalla,Race,5
Saif Ali Khan,Race,12
Akshaye Khanna,Race,8
Bipasha Basu,Race,4
Katrina Kaif,Race,18
Edward Norton,The Incredible Hulk,25
Liv Tyler,The Incredible Hulk,14
Tim Roth,The Incredible Hulk,19
William Hurt,The Incredible Hulk,21
Daniel Craig,Quantum of Solace,23
Olga Kurylenko,Quantum of Solace,13
Mathieu Amalric,Quantum of Solace,9
Judi Dench,Quantum of Solace,21
Shia LaBeouf,Eagle Eye,22
Michelle Monaghan,Eagle Eye,16
Rosario Dawson,Eagle Eye,20
Michael Chiklis,Eagle Eye,5
Tom McGrath,Madagascar: Escape 2 Africa,4
Ben Stiller,Madagascar: Escape 2 Africa,29
Chris Rock,Madagascar: Escape 2 Africa,21
David Schwimmer,Madagascar: Escape 2 Africa,6
Jada Pinkett Smith,Madagascar: Escape 2 Africa,11
Nicole Kidman,Australia,49
Hugh Jackman,Australia,31
Shea Adams,Australia,1
Eddie Baroo,Australia,1
Michael Cera,Nick and Norah's Infinite Playlist,10
Kat Dennings,Nick and Norah's Infinite Playlist,5
Aaron Yoo,Nick and Norah's Infinite Playlist,3
Rafi Gavron,Nick and Norah's Infinite Playlist,3
Dennis Quaid,Vantage Point,47
Forest Whitaker,Vantage Point,24
Matthew Fox,Vantage Point,7
Bruce McGill,Vantage Point,3
Edward Norton,Pride and Glory,25
Colin Farrell,Pride and Glory,39
Noah Emmerich,Pride and Glory,5
Jon Voight,Pride and Glory,16
Woody Harrelson,Transsiberian,42
Emily Mortimer,Transsiberian,19
Ben Kingsley,Transsiberian,33
Kate Mara,Transsiberian,7
Jessica Biel,Easy Virtue,17
Ben Barnes,Easy Virtue,5
Kristin Scott Thomas,Easy Virtue,23
Colin Firth,Easy Virtue,30
Dustin Hoffman,Last Chance Harvey,32
Emma Thompson,Last Chance Harvey,24
Kathy Baker,Last Chance Harvey,4
Eileen Atkins,Last Chance Harvey,2
Noel Clarke,Adulthood,4
Scarlett Alice Johnson,Adulthood,1
Adam Deacon,Adulthood,2
Jacob Anderson,Adulthood,1
Meryl Streep,Mamma Mia!,45
Pierce Brosnan,Mamma Mia!,31
Amanda Seyfried,Mamma Mia!,21
Josh Zuckerman,Sex Drive,1
Clark Duke,Sex Drive,5
Amanda Crew,Sex Drive,3
James Marsden,Sex Drive,22
Seth Rogen,Zack and Miri Make a Porno,24
Elizabeth Banks,Zack and Miri Make a Porno,21
Craig Robinson,Zack and Miri Make a Porno,7
Gerry Bednob,Zack and Miri Make a Porno,1
Freddie Highmore,The Spiderwick Chronicles,9
Sarah Bolger,The Spiderwick Chronicles,6
David Strathairn,The Spiderwick Chronicles,11
Mary-Louise Parker,The Spiderwick Chronicles,7
Sean Faris,Never Back Down,3
Djimon Hounsou,Never Back Down,11
Amber Heard,Never Back Down,12
Cam Gigandet,Never Back Down,6
Ben Barnes,The Chronicles of Narnia: Prince Caspian,5
Skandar Keynes,The Chronicles of Narnia: Prince Caspian,3
Georgie Henley,The Chronicles of Narnia: Prince Caspian,3
William Moseley,The Chronicles of Narnia: Prince Caspian,3
Steve Carell,Get Smart,31
Anne Hathaway,Get Smart,31
Alan Arkin,Get Smart,19
Dwayne Johnson,Get Smart,37
Jackie Chan,The Forbidden Kingdom,46
Jet Li,The Forbidden Kingdom,19
Michael Angarano,The Forbidden Kingdom,12
Juana Collignon,The Forbidden Kingdom,1
Hayden Schlossberg,Harold & Kumar Escape from Guantanamo Bay,2
John Cho,Harold & Kumar Escape from Guantanamo Bay,9
Kal Penn,Harold & Kumar Escape from Guantanamo Bay,5
Neil Patrick Harris,Harold & Kumar Escape from Guantanamo Bay,7
Rob Corddry,Harold & Kumar Escape from Guantanamo Bay,8
Stephen McHattie,Pontypool,6
Lisa Houle,Pontypool,1
Georgina Reilly,Pontypool,1
Hrant Alianak,Pontypool,1
Julianne Moore,Blindness,46
Mark Ruffalo,Blindness,29
Ethan Hawke,What Doesn't Kill You,38
Mark Ruffalo,What Doesn't Kill You,29
Brian Goodman,What Doesn't Kill You,1
Amanda Peet,What Doesn't Kill You,13
Arthur Qwak,Dragon Hunters,1
Vincent Lindon,Dragon Hunters,2
Patrick Timsit,Dragon Hunters,1
Philippe Nahon,Dragon Hunters,4
Amanda Lear,Dragon Hunters,1
Jason Statham,Death Race,36
Joan Allen,Death Race,15
Tyrese Gibson,Death Race,12
Ian McShane,Death Race,11
Will Smith,Hancock,29
Charlize Theron,Hancock,39
Jason Bateman,Hancock,22
Jae Head,Hancock,2
Saoirse Ronan,City of Ember,17
Toby Jones,City of Ember,7
Bill Murray,City of Ember,33
David Ryall,City of Ember,1
Paul Sorvino,Repo! The Genetic Opera,3
Anthony Head,Repo! The Genetic Opera,1
Alexa PenaVega,Repo! The Genetic Opera,6
Sarah Brightman,Repo! The Genetic Opera,1
Simon Pegg,How to Lose Friends & Alienate People,20
Kirsten Dunst,How to Lose Friends & Alienate People,28
Megan Fox,How to Lose Friends & Alienate People,7
Kelan Guy,How to Lose Friends & Alienate People,1
Kirk Cameron,Fireproof,1
Erin Bethea,Fireproof,1
Ken Bevel,Fireproof,2
Stephen Dervan,Fireproof,1
Sam Rockwell,Choke,24
Anjelica Huston,Choke,14
Kelly Macdonald,Choke,8
Kathryn Alexander,Choke,1
Paul Mercier,Resident Evil: Degeneration,1
Alyson Court,Resident Evil: Degeneration,1
Laura Bailey,Resident Evil: Degeneration,2
Roger Craig Smith,Resident Evil: Degeneration,1
Samuel L. Jackson,Soul Men,62
Bernie Mac,Soul Men,6
Sharon Leal,Soul Men,3
Adam Herschman,Soul Men,2
Jack Black,Be Kind Rewind,28
Yasiin Bey,Be Kind Rewind,6
Danny Glover,Be Kind Rewind,19
Mia Farrow,Be Kind Rewind,18
Ryan Phillippe,Stop-Loss,16
Abbie Cornish,Stop-Loss,11
Joseph Gordon-Levitt,Stop-Loss,22
Rob Brown,Stop-Loss,5
Ryan Reynolds,Fireflies in the Garden,41
Willem Dafoe,Fireflies in the Garden,40
Emily Watson,Fireflies in the Garden,18
Carrie-Anne Moss,Fireflies in the Garden,14
Colin Hanks,The Great Buck Howard,7
John Malkovich,The Great Buck Howard,30
Tom Hanks,The Great Buck Howard,52
Emily Blunt,The Great Buck Howard,27
Punit Malhotra,Dostana,1
Abhishek Bachchan,Dostana,12
John Abraham,Dostana,15
Priyanka Chopra Jonas,Dostana,17
Kirron Kher,Dostana,5
Tomer Sisley,The Heir Apparent: Largo Winch,1
Kristin Scott Thomas,The Heir Apparent: Largo Winch,23
Predrag 'Miki' Manojlovic,The Heir Apparent: Largo Winch,2
Amitabh Bachchan,Bhoothnath,27
Juhi Chawla,Bhoothnath,6
Satish Shah,Bhoothnath,3
Rajpal Naurang Yadav,Bhoothnath,2
Stephen Chow,CJ7,3
Yuqi Zhang,CJ7,1
Jiao Xu,CJ7,1
Lei Huang,CJ7,1
Luke Wilson,Henry Poole Is Here,15
Radha Mitchell,Henry Poole Is Here,13
George Lopez,Henry Poole Is Here,4
Adriana Barraza,Henry Poole Is Here,4
Georgia Groome,"Angus, Thongs and Perfect Snogging",1
Aaron Taylor-Johnson,"Angus, Thongs and Perfect Snogging",12
Karen Taylor,"Angus, Thongs and Perfect Snogging",1
Alan Davies,"Angus, Thongs and Perfect Snogging",1
Rosie Traynor,Lake Mungo,1
David Pledger,Lake Mungo,1
Martin Sharpe,Lake Mungo,1
Talia Zucker,Lake Mungo,1
Josh Brolin,W.,20
Elizabeth Banks,W.,21
Ioan Gruffudd,W.,6
Colin Hanks,W.,7
Lena Headey,The Red Baron,13
Til Schweiger,The Red Baron,7
Joseph Fiennes,The Red Baron,14
Julia Ormond,Surveillance,10
Bill Pullman,Surveillance,21
Pell James,Surveillance,1
Caroline Aaron,Surveillance,1
Brittany Murphy,The Ramen Girl,14
Toshiyuki Nishida,The Ramen Girl,1
Tammy Blanchard,The Ramen Girl,4
Soji Arai,The Ramen Girl,1
Steve Coogan,Hamlet 2,15
Elisabeth Shue,Hamlet 2,14
Catherine Keener,Hamlet 2,23
J.J. Soria,Hamlet 2,2
Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull,39
Cate Blanchett,Indiana Jones and the Kingdom of the Crystal Skull,41
Shia LaBeouf,Indiana Jones and the Kingdom of the Crystal Skull,22
Karen Allen,Indiana Jones and the Kingdom of the Crystal Skull,8
Jim Caviezel,Outlander,14
Sophia Myles,Outlander,3
Ron Perlman,Outlander,18
Jack Huston,Outlander,6
America Ferrera,The Sisterhood of the Traveling Pants 2,4
Alexis Bledel,The Sisterhood of the Traveling Pants 2,6
Amber Tamblyn,The Sisterhood of the Traveling Pants 2,5
Blake Lively,The Sisterhood of the Traveling Pants 2,12
Robert Hoffman,Step Up 2: The Streets,2
Briana Evigan,Step Up 2: The Streets,4
Cassie Ventura,Step Up 2: The Streets,1
Adam Sevani,Step Up 2: The Streets,3
Rainn Wilson,The Rocker,12
Josh Gad,The Rocker,13
Christina Applegate,The Rocker,15
Teddy Geiger,The Rocker,1
Diane Lane,Untraceable,22
Colin Hanks,Untraceable,7
Joseph Cross,Untraceable,4
Billy Burke,Untraceable,8
Yvan Attal,"New York, I Love You",1
Randall Balsmeyer,"New York, I Love You",1
Allen Hughes,"New York, I Love You",5
Shunji Iwai,"New York, I Love You",1
Wen Jiang,"New York, I Love You",2
Shekhar Kapur,"New York, I Love You",1
Joshua Marston,"New York, I Love You",1
Mira Nair,"New York, I Love You",1
Natalie Portman,"New York, I Love You",30
Brett Ratner,"New York, I Love You",1
Shia LaBeouf,"New York, I Love You",22
Natalie Portman,"New York, I Love You",30
Bradley Cooper,"New York, I Love You",23
Hayden Christensen,"New York, I Love You",12
Samuel L. Jackson,Lakeview Terrace,62
Patrick Wilson,Lakeview Terrace,25
Kerry Washington,Lakeview Terrace,9
Ron Glass,Lakeview Terrace,1
Panna Rittikrai,Ong Bak 2,1
Tony Jaa,Ong Bak 2,5
Sarunyu Wongkrachang,Ong Bak 2,1
Sorapong Chatree,Ong Bak 2,1
Primrata Dej-Udom,Ong Bak 2,1
Reece Thompson,Assassination of a High School President,3
Mischa Barton,Assassination of a High School President,2
Bruce Willis,Assassination of a High School President,55
Michael Rapaport,Assassination of a High School President,7
Mike Maguire,The Onion Movie,1
Len Cariou,The Onion Movie,1
Sarah McElligott,The Onion Movie,1
Amir Talai,The Onion Movie,1
Elisha Cuthbert,My Sassy Girl,6
Jesse Bradford,My Sassy Girl,7
Austin Basis,My Sassy Girl,1
Chris Sarandon,My Sassy Girl,8
Ranbir Kapoor,Bachna Ae Haseeno,14
Deepika Padukone,Bachna Ae Haseeno,20
Bipasha Basu,Bachna Ae Haseeno,4
Minissha Lamba,Bachna Ae Haseeno,1
Scott Speedman,The Strangers,8
Liv Tyler,The Strangers,14
Gemma Ward,The Strangers,1
Alex Fisher,The Strangers,1
Keira Knightley,The Edge of Love,28
Sienna Miller,The Edge of Love,12
Matthew Rhys,The Edge of Love,3
Simon Armstrong,The Edge of Love,1
Hayden Christensen,Jumper,12
Samuel L. Jackson,Jumper,62
Jamie Bell,Jumper,21
Rachel Bilson,Jumper,3
Emma Roberts,Wild Child,20
Aidan Quinn,Wild Child,10
Natasha Richardson,Wild Child,5
Lexi Ainsworth,Wild Child,1
Katherine Heigl,27 Dresses,16
James Marsden,27 Dresses,22
Malin Akerman,27 Dresses,14
Brian Kerwin,27 Dresses,2
Lilly Wachowski,Speed Racer,7
Emile Hirsch,Speed Racer,16
Matthew Fox,Speed Racer,7
Christina Ricci,Speed Racer,17
Nicholas Elia,Speed Racer,1
Kiefer Sutherland,Mirrors,20
Paula Patton,Mirrors,11
Amy Smart,Mirrors,9
Cameron Boyce,Mirrors,1
Cameron Diaz,What Happens in Vegas,32
Ashton Kutcher,What Happens in Vegas,15
Rob Corddry,What Happens in Vegas,8
Lake Bell,What Happens in Vegas,8
Brendan Fraser,Inkheart,21
Andy Serkis,Inkheart,10
Eliza Bennett,Inkheart,1
Sienna Guillory,Inkheart,5
Shea Whigham,Splinter,6
Jill Wagner,Splinter,2
Paulo Costanzo,Splinter,3
Charles Baker,Splinter,2
Robert Stevenhagen,The Tale of Despereaux,1
Matthew Broderick,The Tale of Despereaux,22
Emma Watson,The Tale of Despereaux,16
Dustin Hoffman,The Tale of Despereaux,32
Tracey Ullman,The Tale of Despereaux,6
Elijah Wood,The Oxford Murders,24
John Hurt,The Oxford Murders,17
Leonor Watling,The Oxford Murders,4
Jim Carter,The Oxford Murders,4
Andy Serkis,The Cottage,10
Reece Shearsmith,The Cottage,2
Jennifer Ellison,The Cottage,1
Steven O'Donnell,The Cottage,1
Kevin Costner,Swing Vote,39
Paula Patton,Swing Vote,11
Kelsey Grammer,Swing Vote,7
Madeline Carroll,Swing Vote,5
Derek Luke,Miracle at St. Anna,8
Michael Ealy,Miracle at St. Anna,9
Laz Alonso,Miracle at St. Anna,2
Omar Benson Miller,Miracle at St. Anna,2
Dennis Quaid,Smart People,47
Thomas Haden Church,Smart People,10
Sarah Jessica Parker,Smart People,15
Elliot Page,Smart People,14
Vinnie Jones,The Midnight Meat Train,6
Bradley Cooper,The Midnight Meat Train,23
Leslie Bibb,The Midnight Meat Train,7
Brooke Shields,The Midnight Meat Train,5
Adam Sandler,Bedtime Stories,40
Keri Russell,Bedtime Stories,11
Courteney Cox,Bedtime Stories,11
Guy Pearce,Bedtime Stories,26
Diane Lane,Nights in Rodanthe,22
Richard Gere,Nights in Rodanthe,28
Christopher Meloni,Nights in Rodanthe,5
Viola Davis,Nights in Rodanthe,18
Robert De Niro,Righteous Kill,69
Al Pacino,Righteous Kill,36
Carla Gugino,Righteous Kill,14
50 Cent,Righteous Kill,5
Jason Statham,Transporter 3,36
Robert Knepper,Transporter 3,3
Natalya Rudakova,Transporter 3,1
Hugh Jackman,Deception,31
Ewan McGregor,Deception,45
Michelle Williams,Deception,23
Bruce Altman,Deception,3
Mark Levin,Nim's Island,1
Jodie Foster,Nim's Island,22
Gerard Butler,Nim's Island,35
Abigail Breslin,Nim's Island,15
Michael Carman,Nim's Island,1
Paul Walker,The Lazarus Project,20
Piper Perabo,The Lazarus Project,10
Brooklynn Proulx,The Lazarus Project,1
Bob Gunton,The Lazarus Project,3
Tina Fey,Baby Mama,10
Amy Poehler,Baby Mama,11
Sigourney Weaver,Baby Mama,31
Greg Kinnear,Baby Mama,24
Ioan Gruffudd,The Secret of Moonacre,6
Dakota Blue Richards,The Secret of Moonacre,2
Tim Curry,The Secret of Moonacre,11
Juliet Stevenson,The Secret of Moonacre,2
George Clooney,Leatherheads,33
John Krasinski,Leatherheads,13
David de Vries,Leatherheads,1
Thomas Jane,Killshot,16
Diane Lane,Killshot,22
Mickey Rourke,Killshot,19
Brandon McGibbon,Killshot,2
Eva Green,Franklyn,13
Ryan Phillippe,Franklyn,16
Sam Riley,Franklyn,8
Bernard Hill,Franklyn,2
Dominic Monaghan,I Sell the Dead,2
Ron Perlman,I Sell the Dead,18
Larry Fessenden,I Sell the Dead,2
Angus Scrimm,I Sell the Dead,3
Shawn Ashmore,The Ruins,6
Jena Malone,The Ruins,10
Jonathan Tucker,The Ruins,6
Laura Ramsey,The Ruins,3
Ray Stevenson,Punisher: War Zone,9
Dominic West,Punisher: War Zone,14
Julie Benz,Punisher: War Zone,3
Doug Hutchison,Punisher: War Zone,2
Rhona Mitra,Doomsday,5
Bob Hoskins,Doomsday,14
Alexander Siddig,Doomsday,1
Caryn Peterson,Doomsday,1
David Duchovny,The X Files: I Want to Believe,7
Gillian Anderson,The X Files: I Want to Believe,6
Billy Connolly,The X Files: I Want to Believe,12
Amanda Peet,The X Files: I Want to Believe,13
Jennifer Carpenter,Quarantine,7
Steve Harris,Quarantine,4
Columbus Short,Quarantine,5
Jay Hernandez,Quarantine,6
Matt Lanter,Star Wars: The Clone Wars,2
Nika Futterman,Star Wars: The Clone Wars,2
Tom Kane,Star Wars: The Clone Wars,1
Ashley Eckstein,Star Wars: The Clone Wars,1
Diane Keaton,Mad Money,27
Queen Latifah,Mad Money,14
Katie Holmes,Mad Money,10
Ted Danson,Mad Money,6
John Cusack,Igor,42
Molly Shannon,Igor,7
Steve Buscemi,Igor,22
Myleene Klass,Igor,1
Eihi Shiina,Tokyo Gore Police,2
Itsuji Itao,Tokyo Gore Police,1
Yukihide Benny,Tokyo Gore Police,1
Alyssa Milano,Pathology,2
Milo Ventimiglia,Pathology,6
Keir O'Donnell,Pathology,4
Michael Weston,Pathology,2
Eva Birthistle,The Children,2
Stephen Campbell Moore,The Children,6
Jeremy Sheffield,The Children,1
Rachel Shelley,The Children,2
Minase Yashiro,The Machine Girl,1
Asami,The Machine Girl,1
Nobuhiro Nishihara,The Machine Girl,1
Scott Patterson,Saw V,2
Costas Mandylor,Saw V,4
Tobin Bell,Saw V,6
Betsy Russell,Saw V,3
Brendan Fraser,Journey to the Center of the Earth,21
Josh Hutcherson,Journey to the Center of the Earth,15
Seth Meyers,Journey to the Center of the Earth,1
Patrick Dempsey,Made of Honor,8
Michelle Monaghan,Made of Honor,16
Kevin McKidd,Made of Honor,4
Kadeem Hardison,Made of Honor,1
Will Ferrell,Semi-Pro,32
Woody Harrelson,Semi-Pro,42
Maura Tierney,Semi-Pro,6
Kate Hudson,My Best Friend's Girl,20
Dane Cook,My Best Friend's Girl,8
Jason Biggs,My Best Friend's Girl,11
Alec Baldwin,My Best Friend's Girl,32
Anne Hathaway,Passengers,31
Patrick Wilson,Passengers,25
David Morse,Passengers,14
Andre Braugher,Passengers,3
Jennifer Aniston,Management,32
Steve Zahn,Management,25
Woody Harrelson,Management,42
Margo Martindale,Management,2
Ray Stevenson,Outpost,9
Julian Wadham,Outpost,2
Richard Brake,Outpost,5
Paul Blair,Outpost,1
Jared Kusnitz,Dance of the Dead,1
Greyson Chadwick,Dance of the Dead,1
Chandler Darby,Dance of the Dead,1
Carissa Fowler,Dance of the Dead,1
Sarah Jessica Parker,Sex and the City,15
Kim Cattrall,Sex and the City,7
Cynthia Nixon,Sex and the City,4
Kristin Davis,Sex and the City,3
Leonardo Sbaraglia,Diary of a Nymphomaniac,4
Llum Barrera,Diary of a Nymphomaniac,1
Geraldine Chaplin,Diary of a Nymphomaniac,4
Matthew McConaughey,Fool's Gold,40
Kate Hudson,Fool's Gold,20
Donald Sutherland,Fool's Gold,28
Alexis Dziena,Fool's Gold,2
Owen Wilson,Drillbit Taylor,36
Josh Peck,Drillbit Taylor,3
Alex Frost,Drillbit Taylor,2
Nate Hartley,Drillbit Taylor,1
Reese Witherspoon,Four Christmases,27
Vince Vaughn,Four Christmases,26
Mary Steenburgen,Four Christmases,14
Robert Duvall,Four Christmases,30
Akshay Kumar,Singh Is King,44
Katrina Kaif,Singh Is King,18
Om Puri,Singh Is King,10
Kirron Kher,Singh Is King,5
Adam Sandler,You Don't Mess with the Zohan,40
John Turturro,You Don't Mess with the Zohan,13
Emmanuelle Chriqui,You Don't Mess with the Zohan,5
Nick Swardson,You Don't Mess with the Zohan,3
Robert De Niro,What Just Happened,69
John Turturro,What Just Happened,13
Stanley Tucci,What Just Happened,24
Sean Penn,What Just Happened,31
Seann William Scott,The Promotion,19
John C. Reilly,The Promotion,26
Chris Conrad,The Promotion,1
Rick Gonzalez,The Promotion,2
Keanu Reeves,The Day the Earth Stood Still,44
Jennifer Connelly,The Day the Earth Stood Still,27
Kathy Bates,The Day the Earth Stood Still,19
Jaden Smith,The Day the Earth Stood Still,3
Anna Faris,The House Bunny,20
Colin Hanks,The House Bunny,7
Emma Stone,The House Bunny,20
Kat Dennings,The House Bunny,5
Vin Diesel,Babylon A.D.,24
Michelle Yeoh,Babylon A.D.,14
Gadi Harel,Deadgirl,1
Shiloh Fernandez,Deadgirl,5
Noah Segan,Deadgirl,2
Candice King,Deadgirl,1
Eric Podnar,Deadgirl,1
Uma Thurman,The Accidental Husband,23
Jeffrey Dean Morgan,The Accidental Husband,13
Justina Machado,The Accidental Husband,1
Colin Firth,The Accidental Husband,30
Todd Wilderman,Open Season 2,2
Joel McHale,Open Season 2,4
Mike Epps,Open Season 2,8
Jane Krakowski,Open Season 2,1
Billy Connolly,Open Season 2,12
Martin Lawrence,"Welcome Home, Roscoe Jenkins",16
Louis C.K.,"Welcome Home, Roscoe Jenkins",4
James Earl Jones,"Welcome Home, Roscoe Jenkins",6
Margaret Avery,"Welcome Home, Roscoe Jenkins",2
John Cusack,"War, Inc.",42
Marisa Tomei,"War, Inc.",23
Hilary Duff,"War, Inc.",9
Joan Cusack,"War, Inc.",19
Famke Janssen,100 Feet,16
Bobby Cannavale,100 Feet,7
Ed Westwick,100 Feet,2
Xavier Palud,The Eye,2
Jessica Alba,The Eye,18
Alessandro Nivola,The Eye,17
Parker Posey,The Eye,8
Rade Serbedzija,The Eye,6
Lena Headey,The Broken,13
Ulrich Thomsen,The Broken,8
Melvil Poupaud,The Broken,3
Michelle Duncan,The Broken,1
Liam Neeson,The Other Man,48
Antonio Banderas,The Other Man,44
Laura Linney,The Other Man,22
Romola Garai,The Other Man,7
Kristen Stewart,Twilight,27
Robert Pattinson,Twilight,18
Billy Burke,Twilight,8
Sarah Clarke,Twilight,1
Mark Wahlberg,Max Payne,45
Mila Kunis,Max Payne,18
Beau Bridges,Max Payne,5
Ludacris,Max Payne,3
Oxide Chun Pang,Bangkok Dangerous,3
Nicolas Cage,Bangkok Dangerous,63
Charlie Yeung,Bangkok Dangerous,4
Shahkrit Yamnarm,Bangkok Dangerous,1
Panward Hemmanee,Bangkok Dangerous,1
Brendan Fraser,The Mummy: Tomb of the Dragon Emperor,21
Jet Li,The Mummy: Tomb of the Dragon Emperor,19
Maria Bello,The Mummy: Tomb of the Dragon Emperor,16
Michelle Yeoh,The Mummy: Tomb of the Dragon Emperor,14
Antonio Banderas,My Mom's New Boyfriend,44
Meg Ryan,My Mom's New Boyfriend,22
Colin Hanks,My Mom's New Boyfriend,7
Selma Blair,My Mom's New Boyfriend,11
Joshua Jackson,Shutter,4
Rachael Taylor,Shutter,4
James Kyson,Shutter,1
Megumi Okina,Shutter,2
Thomas Langmann,Asterix at the Olympic Games,1
Clovis Cornillac,Asterix at the Olympic Games,1
Alain Delon,Asterix at the Olympic Games,10
Steve Zahn,Strange Wilderness,25
Allen Covert,Strange Wilderness,4
Justin Long,Strange Wilderness,17
Jonah Hill,Strange Wilderness,20
Sian Breckin,Donkey Punch,1
Nichola Burley,Donkey Punch,2
Jaime Winstone,Donkey Punch,3
Robert Boulter,Donkey Punch,1
Thomas Jane,Mutant Chronicles,16
Ron Perlman,Mutant Chronicles,18
Devon Aoki,Mutant Chronicles,2
Sean Pertwee,Mutant Chronicles,5
Eva Longoria,Over Her Dead Body,6
Paul Rudd,Over Her Dead Body,29
Lake Bell,Over Her Dead Body,8
Jason Biggs,Over Her Dead Body,11
Camilla Belle,"10,000 BC",6
Steven Strait,"10,000 BC",3
Marco Khan,"10,000 BC",1
Cliff Curtis,"10,000 BC",8
Eddie Murphy,Meet Dave,34
Elizabeth Banks,Meet Dave,21
Gabrielle Union,Meet Dave,9
Scott Caan,Meet Dave,4
Mark Wahlberg,The Happening,45
Zooey Deschanel,The Happening,12
John Leguizamo,The Happening,27
Ashlyn Sanchez,The Happening,1
Meg Ryan,The Women,22
Eva Mendes,The Women,13
Annette Bening,The Women,25
Debra Messing,The Women,5
Larry Bishop,Hell Ride,1
Dennis Hopper,Hell Ride,17
Michael Madsen,Hell Ride,11
Julia Jones,Hell Ride,1
Zac Efron,High School Musical 3: Senior Year,20
Vanessa Hudgens,High School Musical 3: Senior Year,14
Ashley Tisdale,High School Musical 3: Senior Year,2
Lucas Grabeel,High School Musical 3: Senior Year,1
Billy Bob Thornton,The Informers,27
Kim Basinger,The Informers,18
Mickey Rourke,The Informers,19
Jon Foster,The Informers,3
Aamir Khan,3 Idiots,20
Madhavan,3 Idiots,9
Mona Singh,3 Idiots,1
Sharman Joshi,3 Idiots,3
Soledad Villamil,The Secret in Their Eyes,1
Pablo Rago,The Secret in Their Eyes,1
Carla Quevedo,The Secret in Their Eyes,1
Richard Gere,Hachi: A Dog's Tale,28
Joan Allen,Hachi: A Dog's Tale,15
Cary-Hiroyuki Tagawa,Hachi: A Dog's Tale,4
Sarah Roemer,Hachi: A Dog's Tale,3
Toni Collette,Mary and Max,26
Philip Seymour Hoffman,Mary and Max,25
Eric Bana,Mary and Max,17
Barry Humphries,Mary and Max,1
Jae-yeong Jeong,Castaway on the Moon,2
Ryeowon Jung,Castaway on the Moon,1
Yeong-seo Park,Castaway on the Moon,1
Mi-kyeong Yang,Castaway on the Moon,1
Kay Kay Menon,Gulaal,6
Raj Singh Chaudhary,Gulaal,1
Raja Chaudhary,Gulaal,1
Jesse Randhawa,Gulaal,1
Mete Horozoglu,Nefes: Vatan Sagolsun,1
Ilker Kizmaz,Nefes: Vatan Sagolsun,1
Birce Akalay,Nefes: Vatan Sagolsun,1
Ibrahim Akoz,Nefes: Vatan Sagolsun,1
Sam Worthington,Avatar,17
Zoe Saldana,Avatar,16
Sigourney Weaver,Avatar,31
Michelle Rodriguez,Avatar,17
Chris Pine,Star Trek,23
Zachary Quinto,Star Trek,7
Simon Pegg,Star Trek,20
Leonard Nimoy,Star Trek,8
George Clooney,Fantastic Mr. Fox,33
Meryl Streep,Fantastic Mr. Fox,45
Bill Murray,Fantastic Mr. Fox,33
Jason Schwartzman,Fantastic Mr. Fox,11
Sharlto Copley,District 9,11
David James,District 9,1
Jason Cope,District 9,1
Nathalie Boltt,District 9,1
Golshifteh Farahani,About Elly,5
Shahab Hosseini,About Elly,2
Taraneh Alidoosti,About Elly,4
Sajjad Dolati,About Elly,1
Kazuya Tsurumaki,Evangelion: 2.0 You Can (Not) Advance,6
